,Date,Sales,Customers,DayOfWeek,Year,Month,Day
98,2022-04-09,91,16,6,2022,4,9
99,2022-04-10,63,30,7,2022,4,10
100,2022-04-11,69,25,1,2022,4,11
101,2022-04-12,81,24,2,2022,4,12
102,2022-04-13,77,26,3,2022,4,13
103,2022-04-14,64,13,4,2022,4,14
104,2022-04-15,67,28,5,2022,4,15
105,2022-04-16,66,22,6,2022,4,16
106,2022-04-17,51,25,7,2022,4,17
107,2022-04-18,99,20,1,2022,4,18
108,2022-04-19,98,19,2,2022,4,19
109,2022-04-20,55,24,3,2022,4,20
110,2022-04-21,58,10,4,2022,4,21
111,2022-04-22,56,16,5,2022,4,22
112,2022-04-23,68,22,6,2022,4,23
113,2022-04-24,71,18,7,2022,4,24
114,2022-04-25,94,18,1,2022,4,25
115,2022-04-26,96,26,2,2022,4,26
116,2022-04-27,87,13,3,2022,4,27
117,2022-04-28,51,15,4,2022,4,28
118,2022-04-29,58,23,5,2022,4,29
119,2022-04-30,85,21,6,2022,4,30
120,2022-05-01,165,48,7,2022,5,1
121,2022-05-02,184,44,1,2022,5,2
122,2022-05-03,199,47,2,2022,5,3
123,2022-05-04,193,49,3,2022,5,4
124,2022-05-05,179,32,4,2022,5,5
125,2022-05-06,160,39,5,2022,5,6
126,2022-05-07,166,30,6,2022,5,7
127,2022-05-08,159,40,7,2022,5,8
128,2022-05-09,159,36,1,2022,5,9
129,2022-05-10,166,47,2,2022,5,10
130,2022-05-11,191,38,3,2022,5,11
131,2022-05-12,155,36,4,2022,5,12
132,2022-05-13,189,36,5,2022,5,13
133,2022-05-14,172,45,6,2022,5,14
134,2022-05-15,156,40,7,2022,5,15
135,2022-05-16,159,35,1,2022,5,16
136,2022-05-17,190,41,2,2022,5,17
137,2022-05-18,179,36,3,2022,5,18
138,2022-05-19,197,48,4,2022,5,19
139,2022-05-20,179,50,5,2022,5,20
140,2022-05-21,172,48,6,2022,5,21
141,2022-05-22,167,42,7,2022,5,22
142,2022-05-23,181,33,1,2022,5,23
143,2022-05-24,194,39,2,2022,5,24
144,2022-05-25,196,39,3,2022,5,25
145,2022-05-26,189,35,4,2022,5,26
146,2022-05-27,192,42,5,2022,5,27
147,2022-05-28,192,41,6,2022,5,28
148,2022-05-29,196,30,7,2022,5,29
149,2022-05-30,152,47,1,2022,5,30
150,2022-05-31,165,48,2,2022,5,31
151,2022-06-01,170,43,3,2022,6,1
152,2022-06-02,160,37,4,2022,6,2
153,2022-06-03,199,40,5,2022,6,3
154,2022-06-04,194,41,6,2022,6,4
155,2022-06-05,160,36,7,2022,6,5
156,2022-06-06,182,31,1,2022,6,6
157,2022-06-07,181,46,2,2022,6,7
158,2022-06-08,180,44,3,2022,6,8
159,2022-06-09,190,39,4,2022,6,9
160,2022-06-10,164,43,5,2022,6,10
161,2022-06-11,182,36,6,2022,6,11
162,2022-06-12,155,47,7,2022,6,12
163,2022-06-13,150,37,1,2022,6,13
164,2022-06-14,157,43,2,2022,6,14
165,2022-06-15,174,44,3,2022,6,15
166,2022-06-16,154,36,4,2022,6,16
167,2022-06-17,200,44,5,2022,6,17
168,2022-06-18,168,34,6,2022,6,18
169,2022-06-19,176,47,7,2022,6,19
170,2022-06-20,176,36,1,2022,6,20
171,2022-06-21,200,30,2,2022,6,21
172,2022-06-22,191,33,3,2022,6,22
173,2022-06-23,161,49,4,2022,6,23
174,2022-06-24,161,31,5,2022,6,24
175,2022-06-25,177,39,6,2022,6,25
176,2022-06-26,188,41,7,2022,6,26
177,2022-06-27,168,47,1,2022,6,27
178,2022-06-28,171,35,2,2022,6,28
179,2022-06-29,171,38,3,2022,6,29
180,2022-06-30,180,44,4,2022,6,30
181,2022-07-01,174,37,5,2022,7,1
182,2022-07-02,181,35,6,2022,7,2
183,2022-07-03,197,32,7,2022,7,3
184,2022-07-04,168,50,1,2022,7,4
185,2022-07-05,188,43,2,2022,7,5
186,2022-07-06,169,45,3,2022,7,6
187,2022-07-07,199,30,4,2022,7,7
188,2022-07-08,163,43,5,2022,7,8
189,2022-07-09,188,38,6,2022,7,9
190,2022-07-10,166,33,7,2022,7,10
191,2022-07-11,196,42,1,2022,7,11
192,2022-07-12,180,38,2,2022,7,12
193,2022-07-13,180,33,3,2022,7,13
194,2022-07-14,176,48,4,2022,7,14
195,2022-07-15,164,36,5,2022,7,15
196,2022-07-16,190,48,6,2022,7,16
197,2022-07-17,155,41,7,2022,7,17
198,2022-07-18,170,48,1,2022,7,18
199,2022-07-19,178,42,2,2022,7,19
200,2022-07-20,160,39,3,2022,7,20
201,2022-07-21,166,35,4,2022,7,21
202,2022-07-22,183,35,5,2022,7,22
203,2022-07-23,169,38,6,2022,7,23
204,2022-07-24,159,40,7,2022,7,24
205,2022-07-25,185,34,1,2022,7,25
206,2022-07-26,153,46,2,2022,7,26
207,2022-07-27,168,42,3,2022,7,27
208,2022-07-28,199,41,4,2022,7,28
209,2022-07-29,192,43,5,2022,7,29
210,2022-07-30,167,46,6,2022,7,30
211,2022-07-31,174,36,7,2022,7,31
212,2022-08-01,191,48,1,2022,8,1
213,2022-08-02,166,50,2,2022,8,2
214,2022-08-03,181,45,3,2022,8,3
215,2022-08-04,172,43,4,2022,8,4
216,2022-08-05,182,43,5,2022,8,5
217,2022-08-06,184,43,6,2022,8,6
218,2022-08-07,190,33,7,2022,8,7
219,2022-08-08,186,37,1,2022,8,8
220,2022-08-09,200,49,2,2022,8,9
221,2022-08-10,190,35,3,2022,8,10
222,2022-08-11,190,33,4,2022,8,11
223,2022-08-12,172,37,5,2022,8,12
224,2022-08-13,150,47,6,2022,8,13
225,2022-08-14,200,38,7,2022,8,14
226,2022-08-15,198,42,1,2022,8,15
227,2022-08-16,151,42,2,2022,8,16
228,2022-08-17,166,46,3,2022,8,17
229,2022-08-18,188,41,4,2022,8,18
230,2022-08-19,161,45,5,2022,8,19
231,2022-08-20,166,32,6,2022,8,20
232,2022-08-21,174,36,7,2022,8,21
233,2022-08-22,167,32,1,2022,8,22
234,2022-08-23,162,46,2,2022,8,23
235,2022-08-24,170,38,3,2022,8,24
236,2022-08-25,160,37,4,2022,8,25
237,2022-08-26,167,44,5,2022,8,26
238,2022-08-27,168,30,6,2022,8,27
239,2022-08-28,150,45,7,2022,8,28
240,2022-08-29,161,30,1,2022,8,29
241,2022-08-30,160,39,2,2022,8,30
242,2022-08-31,177,39,3,2022,8,31
243,2022-09-01,138,27,4,2022,9,1
244,2022-09-02,114,38,5,2022,9,2
245,2022-09-03,129,35,6,2022,9,3
246,2022-09-04,135,37,7,2022,9,4
247,2022-09-05,150,26,1,2022,9,5
248,2022-09-06,119,26,2,2022,9,6
249,2022-09-07,147,27,3,2022,9,7
250,2022-09-08,132,28,4,2022,9,8
251,2022-09-09,127,34,5,2022,9,9
252,2022-09-10,107,32,6,2022,9,10
253,2022-09-11,125,31,7,2022,9,11
254,2022-09-12,113,21,1,2022,9,12
255,2022-09-13,142,33,2,2022,9,13
256,2022-09-14,103,27,3,2022,9,14
257,2022-09-15,118,24,4,2022,9,15
258,2022-09-16,106,24,5,2022,9,16
259,2022-09-17,147,27,6,2022,9,17
260,2022-09-18,149,35,7,2022,9,18
261,2022-09-19,120,37,1,2022,9,19
262,2022-09-20,107,25,2,2022,9,20
263,2022-09-21,144,32,3,2022,9,21
264,2022-09-22,140,32,4,2022,9,22
265,2022-09-23,102,32,5,2022,9,23
266,2022-09-24,145,22,6,2022,9,24
267,2022-09-25,108,27,7,2022,9,25
268,2022-09-26,133,30,1,2022,9,26
269,2022-09-27,148,35,2,2022,9,27
270,2022-09-28,142,39,3,2022,9,28
271,2022-09-29,102,22,4,2022,9,29
272,2022-09-30,105,39,5,2022,9,30
273,2022-10-01,135,27,6,2022,10,1
274,2022-10-02,117,33,7,2022,10,2
275,2022-10-03,109,28,1,2022,10,3
276,2022-10-04,117,23,2,2022,10,4
277,2022-10-05,133,20,3,2022,10,5
278,2022-10-06,133,37,4,2022,10,6
279,2022-10-07,150,38,5,2022,10,7
280,2022-10-08,113,32,6,2022,10,8
281,2022-10-09,133,31,7,2022,10,9
282,2022-10-10,123,38,1,2022,10,10
283,2022-10-11,138,28,2,2022,10,11
284,2022-10-12,119,22,3,2022,10,12
285,2022-10-13,125,33,4,2022,10,13
286,2022-10-14,101,25,5,2022,10,14
287,2022-10-15,132,23,6,2022,10,15
288,2022-10-16,119,31,7,2022,10,16
289,2022-10-17,143,28,1,2022,10,17
290,2022-10-18,100,36,2,2022,10,18
291,2022-10-19,113,25,3,2022,10,19
292,2022-10-20,142,28,4,2022,10,20
293,2022-10-21,109,37,5,2022,10,21
294,2022-10-22,148,27,6,2022,10,22
295,2022-10-23,136,31,7,2022,10,23
296,2022-10-24,118,32,1,2022,10,24
297,2022-10-25,133,26,2,2022,10,25
298,2022-10-26,136,23,3,2022,10,26
299,2022-10-27,107,23,4,2022,10,27
300,2022-10-28,124,37,5,2022,10,28
301,2022-10-29,102,30,6,2022,10,29
302,2022-10-30,111,25,7,2022,10,30
303,2022-10-31,117,26,1,2022,10,31
304,2022-11-01,114,34,2,2022,11,1
305,2022-11-02,135,28,3,2022,11,2
306,2022-11-03,141,36,4,2022,11,3
307,2022-11-04,131,38,5,2022,11,4
308,2022-11-05,125,31,6,2022,11,5
309,2022-11-06,122,33,7,2022,11,6
310,2022-11-07,108,29,1,2022,11,7
311,2022-11-08,129,28,2,2022,11,8
312,2022-11-09,114,32,3,2022,11,9
313,2022-11-10,143,37,4,2022,11,10
314,2022-11-11,148,22,5,2022,11,11
315,2022-11-12,102,32,6,2022,11,12
316,2022-11-13,143,31,7,2022,11,13
317,2022-11-14,144,22,1,2022,11,14
318,2022-11-15,146,27,2,2022,11,15
319,2022-11-16,139,21,3,2022,11,16
320,2022-11-17,126,38,4,2022,11,17
321,2022-11-18,116,20,5,2022,11,18
322,2022-11-19,123,31,6,2022,11,19
323,2022-11-20,111,23,7,2022,11,20
324,2022-11-21,141,31,1,2022,11,21
325,2022-11-22,106,32,2,2022,11,22
326,2022-11-23,127,38,3,2022,11,23
327,2022-11-24,138,27,4,2022,11,24
328,2022-11-25,148,35,5,2022,11,25
329,2022-11-26,138,23,6,2022,11,26
330,2022-11-27,139,25,7,2022,11,27
331,2022-11-28,111,25,1,2022,11,28
332,2022-11-29,102,27,2,2022,11,29
333,2022-11-30,103,22,3,2022,11,30
334,2022-12-01,131,27,4,2022,12,1
335,2022-12-02,117,24,5,2022,12,2
336,2022-12-03,125,26,6,2022,12,3
337,2022-12-04,127,23,7,2022,12,4
338,2022-12-05,109,27,1,2022,12,5
339,2022-12-06,116,35,2,2022,12,6
340,2022-12-07,109,34,3,2022,12,7
341,2022-12-08,141,37,4,2022,12,8
342,2022-12-09,111,20,5,2022,12,9
343,2022-12-10,133,22,6,2022,12,10
344,2022-12-11,108,35,7,2022,12,11
345,2022-12-12,133,30,1,2022,12,12
346,2022-12-13,143,22,2,2022,12,13
347,2022-12-14,129,35,3,2022,12,14
348,2022-12-15,147,28,4,2022,12,15
349,2022-12-16,146,25,5,2022,12,16
350,2022-12-17,144,36,6,2022,12,17
351,2022-12-18,112,32,7,2022,12,18
352,2022-12-19,122,27,1,2022,12,19
353,2022-12-20,112,36,2,2022,12,20
354,2022-12-21,124,31,3,2022,12,21
355,2022-12-22,112,37,4,2022,12,22
356,2022-12-23,140,20,5,2022,12,23
357,2022-12-24,105,37,6,2022,12,24
358,2022-12-25,117,26,7,2022,12,25
359,2022-12-26,126,21,1,2022,12,26
360,2022-12-27,105,24,2,2022,12,27
361,2022-12-28,118,30,3,2022,12,28
362,2022-12-29,139,24,4,2022,12,29
363,2022-12-30,130,28,5,2022,12,30
364,2022-12-31,122,33,6,2022,12,31
