,ds,holiday
87,2020-06-16,COVID_19
88,2020-06-17,COVID_19
89,2020-06-18,COVID_19
90,2020-06-19,COVID_19
91,2020-06-20,COVID_19
92,2020-06-21,COVID_19
93,2020-06-22,COVID_19
94,2020-06-23,COVID_19
95,2020-06-24,COVID_19
96,2020-06-25,COVID_19
97,2020-06-26,COVID_19
98,2020-06-27,COVID_19
99,2020-06-28,COVID_19
100,2020-06-29,COVID_19
101,2020-06-30,COVID_19
102,2020-07-01,COVID_19
103,2020-07-02,COVID_19
104,2020-07-03,COVID_19
105,2020-07-04,COVID_19
106,2020-07-05,COVID_19
107,2020-07-06,COVID_19
108,2020-07-07,COVID_19
109,2020-07-08,COVID_19
110,2020-07-09,COVID_19
111,2020-07-10,COVID_19
112,2020-07-11,COVID_19
113,2020-07-12,COVID_19
114,2020-07-13,COVID_19
115,2020-07-14,COVID_19
116,2020-07-15,COVID_19
117,2020-07-16,COVID_19
118,2020-07-17,COVID_19
119,2020-07-18,COVID_19
120,2020-07-19,COVID_19
121,2020-07-20,COVID_19
122,2020-07-21,COVID_19
123,2020-07-22,COVID_19
124,2020-07-23,COVID_19
125,2020-07-24,COVID_19
126,2020-07-25,COVID_19
127,2020-07-26,COVID_19
128,2020-07-27,COVID_19
129,2020-07-28,COVID_19
130,2020-07-29,COVID_19
131,2020-07-30,COVID_19
132,2020-07-31,COVID_19
133,2020-08-01,COVID_19
134,2020-08-02,COVID_19
135,2020-08-03,COVID_19
136,2020-08-04,COVID_19
137,2020-08-05,COVID_19
138,2020-08-06,COVID_19
139,2020-08-07,COVID_19
140,2020-08-08,COVID_19
141,2020-08-09,COVID_19
142,2020-08-10,COVID_19
143,2020-08-11,COVID_19
144,2020-08-12,COVID_19
145,2020-08-13,COVID_19
146,2020-08-14,COVID_19
147,2020-08-15,COVID_19
148,2020-08-16,COVID_19
149,2020-08-17,COVID_19
150,2020-08-18,COVID_19
151,2020-08-19,COVID_19
152,2020-08-20,COVID_19
153,2020-08-21,COVID_19
154,2020-08-22,COVID_19
155,2020-08-23,COVID_19
156,2020-08-24,COVID_19
157,2020-08-25,COVID_19
158,2020-08-26,COVID_19
159,2020-08-27,COVID_19
160,2020-08-28,COVID_19
161,2020-08-29,COVID_19
162,2020-08-30,COVID_19
163,2020-08-31,COVID_19
164,2020-09-01,COVID_19
165,2020-09-02,COVID_19
166,2020-09-03,COVID_19
167,2020-09-04,COVID_19
168,2020-09-05,COVID_19
169,2020-09-06,COVID_19
170,2020-09-07,COVID_19
171,2020-09-08,COVID_19
172,2020-09-09,COVID_19
173,2020-09-10,COVID_19
174,2020-09-11,COVID_19
175,2020-09-12,COVID_19
176,2020-09-13,COVID_19
177,2020-09-14,COVID_19
178,2020-09-15,COVID_19
179,2020-09-16,COVID_19
180,2020-09-17,COVID_19
181,2020-09-18,COVID_19
182,2020-09-19,COVID_19
183,2020-09-20,COVID_19
184,2020-09-21,COVID_19
185,2020-09-22,COVID_19
186,2020-09-23,COVID_19
187,2020-09-24,COVID_19
188,2020-09-25,COVID_19
189,2020-09-26,COVID_19
190,2020-09-27,COVID_19
191,2020-09-28,COVID_19
192,2020-09-29,COVID_19
193,2020-09-30,COVID_19
194,2020-10-01,COVID_19
195,2020-10-02,COVID_19
196,2020-10-03,COVID_19
197,2020-10-04,COVID_19
198,2020-10-05,COVID_19
199,2020-10-06,COVID_19
200,2020-10-07,COVID_19
201,2020-10-08,COVID_19
202,2020-10-09,COVID_19
203,2020-10-10,COVID_19
204,2020-10-11,COVID_19
205,2020-10-12,COVID_19
206,2020-10-13,COVID_19
207,2020-10-14,COVID_19
208,2020-10-15,COVID_19
209,2020-10-16,COVID_19
210,2020-10-17,COVID_19
211,2020-10-18,COVID_19
212,2020-10-19,COVID_19
213,2020-10-20,COVID_19
214,2020-10-21,COVID_19
215,2020-10-22,COVID_19
216,2020-10-23,COVID_19
217,2020-10-24,COVID_19
218,2020-10-25,COVID_19
219,2020-10-26,COVID_19
220,2020-10-27,COVID_19
221,2020-10-28,COVID_19
222,2020-10-29,COVID_19
223,2020-10-30,COVID_19
224,2020-10-31,COVID_19
225,2020-11-01,COVID_19
226,2020-11-02,COVID_19
227,2020-11-03,COVID_19
228,2020-11-04,COVID_19
229,2020-11-05,COVID_19
230,2020-11-06,COVID_19
231,2020-11-07,COVID_19
232,2020-11-08,COVID_19
233,2020-11-09,COVID_19
234,2020-11-10,COVID_19
235,2020-11-11,COVID_19
236,2020-11-12,COVID_19
237,2020-11-13,COVID_19
238,2020-11-14,COVID_19
239,2020-11-15,COVID_19
240,2020-11-16,COVID_19
241,2020-11-17,COVID_19
242,2020-11-18,COVID_19
243,2020-11-19,COVID_19
244,2020-11-20,COVID_19
245,2020-11-21,COVID_19
246,2020-11-22,COVID_19
247,2020-11-23,COVID_19
248,2020-11-24,COVID_19
249,2020-11-25,COVID_19
250,2020-11-26,COVID_19
251,2020-11-27,COVID_19
252,2020-11-28,COVID_19
253,2020-11-29,COVID_19
254,2020-11-30,COVID_19
255,2020-12-01,COVID_19
256,2020-12-02,COVID_19
257,2020-12-03,COVID_19
258,2020-12-04,COVID_19
259,2020-12-05,COVID_19
260,2020-12-06,COVID_19
261,2020-12-07,COVID_19
262,2020-12-08,COVID_19
263,2020-12-09,COVID_19
264,2020-12-10,COVID_19
265,2020-12-11,COVID_19
266,2020-12-12,COVID_19
267,2020-12-13,COVID_19
268,2020-12-14,COVID_19
269,2020-12-15,COVID_19
270,2020-12-16,COVID_19
271,2020-12-17,COVID_19
272,2020-12-18,COVID_19
273,2020-12-19,COVID_19
274,2020-12-20,COVID_19
275,2020-12-21,COVID_19
276,2020-12-22,COVID_19
277,2020-12-23,COVID_19
278,2020-12-24,COVID_19
279,2020-12-25,COVID_19
280,2020-12-26,COVID_19
281,2020-12-27,COVID_19
282,2020-12-28,COVID_19
283,2020-12-29,COVID_19
284,2020-12-30,COVID_19
285,2020-12-31,COVID_19
286,2021-01-01,COVID_19
287,2021-01-02,COVID_19
288,2021-01-03,COVID_19
289,2021-01-04,COVID_19
290,2021-01-05,COVID_19
291,2021-01-06,COVID_19
292,2021-01-07,COVID_19
293,2021-01-08,COVID_19
294,2021-01-09,COVID_19
295,2021-01-10,COVID_19
296,2021-01-11,COVID_19
297,2021-01-12,COVID_19
298,2021-01-13,COVID_19
299,2021-01-14,COVID_19
300,2021-01-15,COVID_19
301,2021-01-16,COVID_19
302,2021-01-17,COVID_19
303,2021-01-18,COVID_19
304,2021-01-19,COVID_19
305,2021-01-20,COVID_19
306,2021-01-21,COVID_19
307,2021-01-22,COVID_19
308,2021-01-23,COVID_19
309,2021-01-24,COVID_19
310,2021-01-25,COVID_19
311,2021-01-26,COVID_19
312,2021-01-27,COVID_19
313,2021-01-28,COVID_19
314,2021-01-29,COVID_19
315,2021-01-30,COVID_19
316,2021-01-31,COVID_19
317,2021-02-01,COVID_19
318,2021-02-02,COVID_19
319,2021-02-03,COVID_19
320,2021-02-04,COVID_19
321,2021-02-05,COVID_19
322,2021-02-06,COVID_19
323,2021-02-07,COVID_19
324,2021-02-08,COVID_19
325,2021-02-09,COVID_19
326,2021-02-10,COVID_19
327,2021-02-11,COVID_19
328,2021-02-12,COVID_19
329,2021-02-13,COVID_19
330,2021-02-14,COVID_19
331,2021-02-15,COVID_19
332,2021-02-16,COVID_19
333,2021-02-17,COVID_19
334,2021-02-18,COVID_19
335,2021-02-19,COVID_19
336,2021-02-20,COVID_19
337,2021-02-21,COVID_19
338,2021-02-22,COVID_19
339,2021-02-23,COVID_19
340,2021-02-24,COVID_19
341,2021-02-25,COVID_19
342,2021-02-26,COVID_19
343,2021-02-27,COVID_19
344,2021-02-28,COVID_19
345,2021-03-01,COVID_19
346,2021-03-02,COVID_19
347,2021-03-03,COVID_19
348,2021-03-04,COVID_19
349,2021-03-05,COVID_19
350,2021-03-06,COVID_19
351,2021-03-07,COVID_19
352,2021-03-08,COVID_19
353,2021-03-09,COVID_19
354,2021-03-10,COVID_19
355,2021-03-11,COVID_19
356,2021-03-12,COVID_19
357,2021-03-13,COVID_19
358,2021-03-14,COVID_19
359,2021-03-15,COVID_19
360,2021-03-16,COVID_19
361,2021-03-17,COVID_19
362,2021-03-18,COVID_19
363,2021-03-19,COVID_19
364,2021-03-20,COVID_19
365,2021-03-21,COVID_19
366,2021-03-22,COVID_19
367,2021-03-23,COVID_19
368,2021-03-24,COVID_19
369,2021-03-25,COVID_19
370,2021-03-26,COVID_19
371,2021-03-27,COVID_19
372,2021-03-28,COVID_19
373,2021-03-29,COVID_19
374,2021-03-30,COVID_19
375,2021-03-31,COVID_19
376,2021-04-01,COVID_19
377,2021-04-02,COVID_19
378,2021-04-03,COVID_19
379,2021-04-04,COVID_19
380,2021-04-05,COVID_19
381,2021-04-06,COVID_19
382,2021-04-07,COVID_19
383,2021-04-08,COVID_19
384,2021-04-09,COVID_19
385,2021-04-10,COVID_19
386,2021-04-11,COVID_19
387,2021-04-12,COVID_19
388,2021-04-13,COVID_19
389,2021-04-14,COVID_19
390,2021-04-15,COVID_19
391,2021-04-16,COVID_19
392,2021-04-17,COVID_19
393,2021-04-18,COVID_19
394,2021-04-19,COVID_19
395,2021-04-20,COVID_19
396,2021-04-21,COVID_19
397,2021-04-22,COVID_19
398,2021-04-23,COVID_19
399,2021-04-24,COVID_19
400,2021-04-25,COVID_19
401,2021-04-26,COVID_19
402,2021-04-27,COVID_19
403,2021-04-28,COVID_19
404,2021-04-29,COVID_19
405,2021-04-30,COVID_19
406,2021-05-01,COVID_19
407,2021-05-02,COVID_19
408,2021-05-03,COVID_19
409,2021-05-04,COVID_19
410,2021-05-05,COVID_19
411,2021-05-06,COVID_19
412,2021-05-07,COVID_19
413,2021-05-08,COVID_19
414,2021-05-09,COVID_19
415,2021-05-10,COVID_19
416,2021-05-11,COVID_19
417,2021-05-12,COVID_19
418,2021-05-13,COVID_19
419,2021-05-14,COVID_19
420,2021-05-15,COVID_19
421,2021-05-16,COVID_19
422,2021-05-17,COVID_19
423,2021-05-18,COVID_19
424,2021-05-19,COVID_19
425,2021-05-20,COVID_19
426,2021-05-21,COVID_19
427,2021-05-22,COVID_19
428,2021-05-23,COVID_19
429,2021-05-24,COVID_19
430,2021-05-25,COVID_19
431,2021-05-26,COVID_19
432,2021-05-27,COVID_19
433,2021-05-28,COVID_19
434,2021-05-29,COVID_19
435,2021-05-30,COVID_19
436,2021-05-31,COVID_19
437,2021-06-01,COVID_19
438,2021-06-02,COVID_19
439,2021-06-03,COVID_19
440,2021-06-04,COVID_19
441,2021-06-05,COVID_19
442,2021-06-06,COVID_19
443,2021-06-07,COVID_19
444,2021-06-08,COVID_19
445,2021-06-09,COVID_19
446,2021-06-10,COVID_19
447,2021-06-11,COVID_19
448,2021-06-12,COVID_19
449,2021-06-13,COVID_19
450,2021-06-14,COVID_19
451,2021-06-15,COVID_19
452,2021-06-16,COVID_19
453,2021-06-17,COVID_19
454,2021-06-18,COVID_19
455,2021-06-19,COVID_19
456,2021-06-20,COVID_19
457,2021-06-21,COVID_19
458,2021-06-22,COVID_19
459,2021-06-23,COVID_19
460,2021-06-24,COVID_19
461,2021-06-25,COVID_19
462,2021-06-26,COVID_19
463,2021-06-27,COVID_19
464,2021-06-28,COVID_19
465,2021-06-29,COVID_19
466,2021-06-30,COVID_19
467,2021-07-01,COVID_19
468,2021-07-02,COVID_19
469,2021-07-03,COVID_19
470,2021-07-04,COVID_19
471,2021-07-05,COVID_19
472,2021-07-06,COVID_19
473,2021-07-07,COVID_19
474,2021-07-08,COVID_19
475,2021-07-09,COVID_19
476,2021-07-10,COVID_19
477,2021-07-11,COVID_19
478,2021-07-12,COVID_19
479,2021-07-13,COVID_19
480,2021-07-14,COVID_19
481,2021-07-15,COVID_19
482,2021-07-16,COVID_19
483,2021-07-17,COVID_19
484,2021-07-18,COVID_19
485,2021-07-19,COVID_19
486,2021-07-20,COVID_19
487,2021-07-21,COVID_19
488,2021-07-22,COVID_19
489,2021-07-23,COVID_19
490,2021-07-24,COVID_19
491,2021-07-25,COVID_19
492,2021-07-26,COVID_19
493,2021-07-27,COVID_19
494,2021-07-28,COVID_19
495,2021-07-29,COVID_19
496,2021-07-30,COVID_19
497,2021-07-31,COVID_19
498,2021-08-01,COVID_19
499,2021-08-02,COVID_19
500,2021-08-03,COVID_19
501,2021-08-04,COVID_19
502,2021-08-05,COVID_19
503,2021-08-06,COVID_19
504,2021-08-07,COVID_19
505,2021-08-08,COVID_19
506,2021-08-09,COVID_19
507,2021-08-10,COVID_19
508,2021-08-11,COVID_19
509,2021-08-12,COVID_19
510,2021-08-13,COVID_19
511,2021-08-14,COVID_19
512,2021-08-15,COVID_19
513,2021-08-16,COVID_19
514,2021-08-17,COVID_19
515,2021-08-18,COVID_19
516,2021-08-19,COVID_19
517,2021-08-20,COVID_19
518,2021-08-21,COVID_19
519,2021-08-22,COVID_19
520,2021-08-23,COVID_19
521,2021-08-24,COVID_19
522,2021-08-25,COVID_19
523,2021-08-26,COVID_19
524,2021-08-27,COVID_19
525,2021-08-28,COVID_19
526,2021-08-29,COVID_19
527,2021-08-30,COVID_19
528,2021-08-31,COVID_19
529,2021-09-01,COVID_19
530,2021-09-02,COVID_19
531,2021-09-03,COVID_19
532,2021-09-04,COVID_19
533,2021-09-05,COVID_19
534,2021-09-06,COVID_19
535,2021-09-07,COVID_19
536,2021-09-08,COVID_19
537,2021-09-09,COVID_19
538,2021-09-10,COVID_19
539,2021-09-11,COVID_19
540,2021-09-12,COVID_19
541,2021-09-13,COVID_19
542,2021-09-14,COVID_19
543,2021-09-15,COVID_19
544,2021-09-16,COVID_19
545,2021-09-17,COVID_19
546,2021-09-18,COVID_19
547,2021-09-19,COVID_19
548,2021-09-20,COVID_19
549,2021-09-21,COVID_19
550,2021-09-22,COVID_19
551,2021-09-23,COVID_19
552,2021-09-24,COVID_19
553,2021-09-25,COVID_19
554,2021-09-26,COVID_19
555,2021-09-27,COVID_19
556,2021-09-28,COVID_19
557,2021-09-29,COVID_19
558,2021-09-30,COVID_19
559,2021-10-01,COVID_19
560,2021-10-02,COVID_19
561,2021-10-03,COVID_19
562,2021-10-04,COVID_19
563,2021-10-05,COVID_19
564,2021-10-06,COVID_19
565,2021-10-07,COVID_19
566,2021-10-08,COVID_19
567,2021-10-09,COVID_19
568,2021-10-10,COVID_19
569,2021-10-11,COVID_19
570,2021-10-12,COVID_19
571,2021-10-13,COVID_19
572,2021-10-14,COVID_19
573,2021-10-15,COVID_19
574,2021-10-16,COVID_19
575,2021-10-17,COVID_19
576,2021-10-18,COVID_19
577,2021-10-19,COVID_19
578,2021-10-20,COVID_19
579,2021-10-21,COVID_19
580,2021-10-22,COVID_19
581,2021-10-23,COVID_19
582,2021-10-24,COVID_19
583,2021-10-25,COVID_19
584,2021-10-26,COVID_19
585,2021-10-27,COVID_19
586,2021-10-28,COVID_19
587,2021-10-29,COVID_19
588,2021-10-30,COVID_19
589,2021-10-31,COVID_19
590,2021-11-01,COVID_19
591,2021-11-02,COVID_19
592,2021-11-03,COVID_19
593,2021-11-04,COVID_19
594,2021-11-05,COVID_19
595,2021-11-06,COVID_19
596,2021-11-07,COVID_19
597,2021-11-08,COVID_19
598,2021-11-09,COVID_19
599,2021-11-10,COVID_19
600,2021-11-11,COVID_19
601,2021-11-12,COVID_19
602,2021-11-13,COVID_19
603,2021-11-14,COVID_19
604,2021-11-15,COVID_19
605,2021-11-16,COVID_19
606,2021-11-17,COVID_19
607,2021-11-18,COVID_19
608,2021-11-19,COVID_19
609,2021-11-20,COVID_19
610,2021-11-21,COVID_19
611,2021-11-22,COVID_19
612,2021-11-23,COVID_19
613,2021-11-24,COVID_19
614,2021-11-25,COVID_19
615,2021-11-26,COVID_19
616,2021-11-27,COVID_19
617,2021-11-28,COVID_19
618,2021-11-29,COVID_19
619,2021-11-30,COVID_19
620,2021-12-01,COVID_19
621,2021-12-02,COVID_19
622,2021-12-03,COVID_19
623,2021-12-04,COVID_19
624,2021-12-05,COVID_19
625,2021-12-06,COVID_19
626,2021-12-07,COVID_19
627,2021-12-08,COVID_19
628,2021-12-09,COVID_19
629,2021-12-10,COVID_19
630,2021-12-11,COVID_19
631,2021-12-12,COVID_19
632,2021-12-13,COVID_19
633,2021-12-14,COVID_19
