,Store,Date,Sales,Customers,DayOfWeek,Year,Month,Day
12392,17,2015-06-11,4882,703,4,2015,6,11
12393,17,2015-06-10,5142,735,3,2015,6,10
12394,17,2015-06-09,5972,834,2,2015,6,9
12395,17,2015-06-08,5564,748,1,2015,6,8
12396,17,2015-06-06,2557,343,6,2015,6,6
12397,17,2015-06-05,6659,839,5,2015,6,5
12398,17,2015-06-04,7776,967,4,2015,6,4
12399,17,2015-06-03,7897,898,3,2015,6,3
12400,17,2015-06-02,9671,1032,2,2015,6,2
12401,17,2015-06-01,10027,1070,1,2015,6,1
12402,17,2015-05-30,3461,403,6,2015,5,30
12403,17,2015-05-29,7106,893,5,2015,5,29
12404,17,2015-05-28,5778,769,4,2015,5,28
12405,17,2015-05-27,5920,775,3,2015,5,27
12406,17,2015-05-26,6425,866,2,2015,5,26
12407,17,2015-05-23,2462,331,6,2015,5,23
12408,17,2015-05-22,5740,766,5,2015,5,22
12409,17,2015-05-21,6435,791,4,2015,5,21
12410,17,2015-05-20,6984,862,3,2015,5,20
12411,17,2015-05-19,7848,914,2,2015,5,19
12412,17,2015-05-18,9758,1111,1,2015,5,18
12413,17,2015-05-16,2755,362,6,2015,5,16
12414,17,2015-05-15,6738,872,5,2015,5,15
12415,17,2015-05-13,6302,836,3,2015,5,13
12416,17,2015-05-12,5720,793,2,2015,5,12
12417,17,2015-05-11,5045,753,1,2015,5,11
12418,17,2015-05-09,2962,383,6,2015,5,9
12419,17,2015-05-08,6876,842,5,2015,5,8
12420,17,2015-05-07,7582,882,4,2015,5,7
12421,17,2015-05-06,7453,862,3,2015,5,6
12422,17,2015-05-05,8378,957,2,2015,5,5
12423,17,2015-05-04,10047,1102,1,2015,5,4
12424,17,2015-05-02,4256,536,6,2015,5,2
12425,17,2015-04-30,9426,1048,4,2015,4,30
12426,17,2015-04-29,8253,941,3,2015,4,29
12427,17,2015-04-28,9145,1011,2,2015,4,28
12428,17,2015-04-27,10705,1059,1,2015,4,27
12429,17,2015-04-25,2572,326,6,2015,4,25
12430,17,2015-04-24,4694,654,5,2015,4,24
12431,17,2015-04-23,4884,700,4,2015,4,23
12432,17,2015-04-22,4984,698,3,2015,4,22
12433,17,2015-04-21,5275,742,2,2015,4,21
12434,17,2015-04-20,5426,753,1,2015,4,20
12435,17,2015-04-18,2591,349,6,2015,4,18
12436,17,2015-04-17,7218,875,5,2015,4,17
12437,17,2015-04-16,7080,844,4,2015,4,16
12438,17,2015-04-15,6910,843,3,2015,4,15
12439,17,2015-04-14,9397,1036,2,2015,4,14
12440,17,2015-04-13,9693,1053,1,2015,4,13
12441,17,2015-04-11,2770,340,6,2015,4,11
12442,17,2015-04-10,5391,760,5,2015,4,10
12443,17,2015-04-09,5448,767,4,2015,4,9
12444,17,2015-04-08,5672,791,3,2015,4,8
12445,17,2015-04-07,6784,894,2,2015,4,7
12446,17,2015-04-04,5597,669,6,2015,4,4
12447,17,2015-04-02,8703,981,4,2015,4,2
12448,17,2015-04-01,8835,974,3,2015,4,1
12449,17,2015-03-31,10878,1062,2,2015,3,31
12450,17,2015-03-30,11400,1038,1,2015,3,30
12451,17,2015-03-28,2971,360,6,2015,3,28
12452,17,2015-03-27,5092,659,5,2015,3,27
12453,17,2015-03-26,4725,657,4,2015,3,26
12454,17,2015-03-25,5235,711,3,2015,3,25
12455,17,2015-03-24,5350,721,2,2015,3,24
12456,17,2015-03-23,4649,700,1,2015,3,23
12457,17,2015-03-21,2829,323,6,2015,3,21
12458,17,2015-03-20,7290,864,5,2015,3,20
12459,17,2015-03-19,7047,840,4,2015,3,19
12460,17,2015-03-18,7280,855,3,2015,3,18
12461,17,2015-03-17,9114,1025,2,2015,3,17
12462,17,2015-03-16,10474,1137,1,2015,3,16
12463,17,2015-03-14,2645,279,6,2015,3,14
12464,17,2015-03-13,5581,746,5,2015,3,13
12465,17,2015-03-12,5141,684,4,2015,3,12
12466,17,2015-03-11,5423,737,3,2015,3,11
12467,17,2015-03-10,4657,672,2,2015,3,10
12468,17,2015-03-09,5518,739,1,2015,3,9
12469,17,2015-03-07,2589,378,6,2015,3,7
12470,17,2015-03-06,6729,850,5,2015,3,6
12471,17,2015-03-05,6485,789,4,2015,3,5
12472,17,2015-03-04,7929,858,3,2015,3,4
12473,17,2015-03-03,8764,996,2,2015,3,3
12474,17,2015-03-02,9986,1045,1,2015,3,2
12475,17,2015-02-28,2820,383,6,2015,2,28
12476,17,2015-02-27,6135,808,5,2015,2,27
12477,17,2015-02-26,5247,727,4,2015,2,26
12478,17,2015-02-25,4813,694,3,2015,2,25
12479,17,2015-02-24,5523,772,2,2015,2,24
12480,17,2015-02-23,3995,566,1,2015,2,23
12481,17,2015-02-21,2795,335,6,2015,2,21
12482,17,2015-02-20,6852,853,5,2015,2,20
12483,17,2015-02-19,7610,869,4,2015,2,19
12484,17,2015-02-18,7592,859,3,2015,2,18
12485,17,2015-02-17,8611,965,2,2015,2,17
12486,17,2015-02-16,9780,1021,1,2015,2,16
12487,17,2015-02-14,2957,421,6,2015,2,14
12488,17,2015-02-13,5843,822,5,2015,2,13
12489,17,2015-02-12,5411,732,4,2015,2,12
12490,17,2015-02-11,4716,700,3,2015,2,11
12491,17,2015-02-10,5414,769,2,2015,2,10
12492,17,2015-02-09,4310,672,1,2015,2,9
12493,17,2015-02-07,2533,361,6,2015,2,7
12494,17,2015-02-06,6643,800,5,2015,2,6
12495,17,2015-02-05,6301,786,4,2015,2,5
12496,17,2015-02-04,7313,839,3,2015,2,4
12497,17,2015-02-03,9070,1035,2,2015,2,3
12498,17,2015-02-02,11029,1139,1,2015,2,2
12499,17,2015-01-31,2903,357,6,2015,1,31
12500,17,2015-01-30,7929,846,5,2015,1,30
12501,17,2015-01-29,6448,738,4,2015,1,29
12502,17,2015-01-28,7323,790,3,2015,1,28
12503,17,2015-01-27,8235,913,2,2015,1,27
12504,17,2015-01-26,9183,1002,1,2015,1,26
12505,17,2015-01-24,2947,357,6,2015,1,24
12506,17,2015-01-23,4677,653,5,2015,1,23
12507,17,2015-01-22,4526,641,4,2015,1,22
12508,17,2015-01-21,4701,670,3,2015,1,21
12509,17,2015-01-20,4634,667,2,2015,1,20
12510,17,2015-01-19,5176,770,1,2015,1,19
12511,17,2015-01-17,3132,407,6,2015,1,17
12512,17,2015-01-16,7372,855,5,2015,1,16
12513,17,2015-01-15,7481,890,4,2015,1,15
12514,17,2015-01-14,6679,739,3,2015,1,14
12515,17,2015-01-13,9384,1030,2,2015,1,13
12516,17,2015-01-12,9684,1009,1,2015,1,12
12517,17,2015-01-10,2636,327,6,2015,1,10
12518,17,2015-01-09,6101,753,5,2015,1,9
12519,17,2015-01-08,6506,753,4,2015,1,8
12520,17,2015-01-07,7707,876,3,2015,1,7
12521,17,2015-01-06,8561,972,2,2015,1,6
12522,17,2015-01-05,10298,1130,1,2015,1,5
12523,17,2015-01-03,2987,372,6,2015,1,3
12524,17,2015-01-02,5977,833,5,2015,1,2
12525,17,2014-12-31,2639,367,3,2014,12,31
12526,17,2014-12-30,7055,869,2,2014,12,30
12527,17,2014-12-29,7067,953,1,2014,12,29
12528,17,2014-12-27,3521,497,6,2014,12,27
12529,17,2014-12-24,3123,423,3,2014,12,24
12530,17,2014-12-23,10494,1289,2,2014,12,23
12531,17,2014-12-22,13241,1461,1,2014,12,22
12532,17,2014-12-20,6150,695,6,2014,12,20
12533,17,2014-12-19,10295,992,5,2014,12,19
12534,17,2014-12-18,11674,1182,4,2014,12,18
12535,17,2014-12-17,10556,1014,3,2014,12,17
12536,17,2014-12-16,14160,1348,2,2014,12,16
12537,17,2014-12-15,16251,1420,1,2014,12,15
12538,17,2014-12-13,4270,524,6,2014,12,13
12539,17,2014-12-12,6415,769,5,2014,12,12
12540,17,2014-12-11,5581,719,4,2014,12,11
12541,17,2014-12-10,5738,721,3,2014,12,10
12542,17,2014-12-09,7386,893,2,2014,12,9
12543,17,2014-12-08,6574,848,1,2014,12,8
12544,17,2014-12-06,4174,541,6,2014,12,6
12545,17,2014-12-05,9285,1023,5,2014,12,5
12546,17,2014-12-04,8093,844,4,2014,12,4
12547,17,2014-12-03,9056,927,3,2014,12,3
12548,17,2014-12-02,11924,1145,2,2014,12,2
12549,17,2014-12-01,13042,1242,1,2014,12,1
12550,17,2014-11-29,3902,505,6,2014,11,29
12551,17,2014-11-28,9801,1031,5,2014,11,28
12552,17,2014-11-27,8058,909,4,2014,11,27
12553,17,2014-11-26,7646,853,3,2014,11,26
12554,17,2014-11-25,9463,1027,2,2014,11,25
12555,17,2014-11-24,10899,1064,1,2014,11,24
12556,17,2014-11-22,3045,399,6,2014,11,22
12557,17,2014-11-21,5177,723,5,2014,11,21
12558,17,2014-11-20,5570,718,4,2014,11,20
12559,17,2014-11-19,5367,767,3,2014,11,19
12560,17,2014-11-18,4992,695,2,2014,11,18
12561,17,2014-11-17,6160,807,1,2014,11,17
12562,17,2014-11-15,3346,405,6,2014,11,15
12563,17,2014-11-14,7595,877,5,2014,11,14
12564,17,2014-11-13,7378,847,4,2014,11,13
12565,17,2014-11-12,7933,869,3,2014,11,12
12566,17,2014-11-11,8297,984,2,2014,11,11
12567,17,2014-11-10,8794,1003,1,2014,11,10
12568,17,2014-11-08,3122,450,6,2014,11,8
12569,17,2014-11-07,7695,932,5,2014,11,7
12570,17,2014-11-06,8243,940,4,2014,11,6
12571,17,2014-11-05,8062,873,3,2014,11,5
12572,17,2014-11-04,10200,1113,2,2014,11,4
12573,17,2014-11-03,12062,1232,1,2014,11,3
12574,17,2014-11-01,4348,572,6,2014,11,1
12575,17,2014-10-30,6849,912,4,2014,10,30
12576,17,2014-10-29,5394,755,3,2014,10,29
12577,17,2014-10-28,5598,783,2,2014,10,28
12578,17,2014-10-27,5109,778,1,2014,10,27
12579,17,2014-10-25,2973,399,6,2014,10,25
12580,17,2014-10-24,7066,889,5,2014,10,24
12581,17,2014-10-23,7627,928,4,2014,10,23
12582,17,2014-10-22,5803,633,3,2014,10,22
12583,17,2014-10-21,8098,950,2,2014,10,21
12584,17,2014-10-20,9377,1048,1,2014,10,20
12585,17,2014-10-18,2892,368,6,2014,10,18
12586,17,2014-10-17,5043,760,5,2014,10,17
12587,17,2014-10-16,5003,734,4,2014,10,16
12588,17,2014-10-15,5512,759,3,2014,10,15
12589,17,2014-10-14,5927,828,2,2014,10,14
12590,17,2014-10-13,5175,755,1,2014,10,13
12591,17,2014-10-11,2677,382,6,2014,10,11
12592,17,2014-10-10,7119,859,5,2014,10,10
12593,17,2014-10-09,7357,893,4,2014,10,9
12594,17,2014-10-08,7830,905,3,2014,10,8
12595,17,2014-10-07,9867,1033,2,2014,10,7
12596,17,2014-10-06,11180,1204,1,2014,10,6
12597,17,2014-10-04,3880,516,6,2014,10,4
12598,17,2014-10-02,7808,973,4,2014,10,2
12599,17,2014-10-01,7472,907,3,2014,10,1
12600,17,2014-09-30,11566,1243,2,2014,9,30
12601,17,2014-09-29,9894,1068,1,2014,9,29
12602,17,2014-09-27,2916,358,6,2014,9,27
12603,17,2014-09-26,4686,694,5,2014,9,26
12604,17,2014-09-25,4793,659,4,2014,9,25
12605,17,2014-09-24,4715,674,3,2014,9,24
12606,17,2014-09-23,5259,764,2,2014,9,23
12607,17,2014-09-22,5041,710,1,2014,9,22
12608,17,2014-09-20,2347,352,6,2014,9,20
12609,17,2014-09-19,6718,806,5,2014,9,19
12610,17,2014-09-18,6602,790,4,2014,9,18
12611,17,2014-09-17,7092,843,3,2014,9,17
12612,17,2014-09-16,9010,1011,2,2014,9,16
12613,17,2014-09-15,10743,1107,1,2014,9,15
12614,17,2014-09-13,2676,358,6,2014,9,13
12615,17,2014-09-12,4802,706,5,2014,9,12
12616,17,2014-09-11,5058,743,4,2014,9,11
12617,17,2014-09-10,5296,743,3,2014,9,10
12618,17,2014-09-09,5623,796,2,2014,9,9
12619,17,2014-09-08,5272,791,1,2014,9,8
12620,17,2014-09-06,2479,342,6,2014,9,6
12621,17,2014-09-05,7112,886,5,2014,9,5
12622,17,2014-09-04,6997,866,4,2014,9,4
12623,17,2014-09-03,7947,900,3,2014,9,3
12624,17,2014-09-02,7894,985,2,2014,9,2
12625,17,2014-09-01,8261,966,1,2014,9,1
12626,17,2014-08-30,2898,405,6,2014,8,30
12627,17,2014-08-29,6098,868,5,2014,8,29
12628,17,2014-08-28,5058,719,4,2014,8,28
12629,17,2014-08-27,5655,796,3,2014,8,27
12630,17,2014-08-26,4690,679,2,2014,8,26
12631,17,2014-08-25,5121,721,1,2014,8,25
12632,17,2014-08-23,2418,342,6,2014,8,23
12633,17,2014-08-22,6389,855,5,2014,8,22
12634,17,2014-08-21,6740,858,4,2014,8,21
12635,17,2014-08-20,6947,866,3,2014,8,20
12636,17,2014-08-19,8687,1031,2,2014,8,19
12637,17,2014-08-18,10048,1137,1,2014,8,18
12638,17,2014-08-16,2592,361,6,2014,8,16
12639,17,2014-08-15,5005,715,5,2014,8,15
12640,17,2014-08-14,5453,783,4,2014,8,14
12641,17,2014-08-13,4944,726,3,2014,8,13
12642,17,2014-08-12,5440,793,2,2014,8,12
12643,17,2014-08-11,5287,798,1,2014,8,11
12644,17,2014-08-09,2344,345,6,2014,8,9
12645,17,2014-08-08,5975,789,5,2014,8,8
12646,17,2014-08-07,6866,870,4,2014,8,7
12647,17,2014-08-06,6742,855,3,2014,8,6
12648,17,2014-08-05,9139,1075,2,2014,8,5
12649,17,2014-08-04,9851,1110,1,2014,8,4
12650,17,2014-08-02,2589,356,6,2014,8,2
12651,17,2014-08-01,7958,968,5,2014,8,1
12652,17,2014-07-31,9112,1049,4,2014,7,31
12653,17,2014-07-30,6764,830,3,2014,7,30
12654,17,2014-07-29,7446,832,2,2014,7,29
12655,17,2014-07-28,9199,1034,1,2014,7,28
12656,17,2014-07-26,2133,307,6,2014,7,26
12657,17,2014-07-25,4817,662,5,2014,7,25
12658,17,2014-07-24,4934,719,4,2014,7,24
12659,17,2014-07-23,5215,753,3,2014,7,23
12660,17,2014-07-22,5412,755,2,2014,7,22
12661,17,2014-07-21,5841,756,1,2014,7,21
12662,17,2014-07-19,2624,368,6,2014,7,19
12663,17,2014-07-18,6303,819,5,2014,7,18
12664,17,2014-07-17,7451,899,4,2014,7,17
12665,17,2014-07-16,8001,964,3,2014,7,16
12666,17,2014-07-15,8993,1068,2,2014,7,15
12667,17,2014-07-14,9236,1052,1,2014,7,14
12668,17,2014-07-12,2822,390,6,2014,7,12
12669,17,2014-07-11,5434,785,5,2014,7,11
12670,17,2014-07-10,5834,838,4,2014,7,10
12671,17,2014-07-09,4602,630,3,2014,7,9
12672,17,2014-07-08,5104,747,2,2014,7,8
12673,17,2014-07-07,5550,792,1,2014,7,7
12674,17,2014-07-05,2761,377,6,2014,7,5
12675,17,2014-07-04,5946,807,5,2014,7,4
12676,17,2014-07-03,7659,957,4,2014,7,3
12677,17,2014-07-02,7450,900,3,2014,7,2
12678,17,2014-07-01,7749,960,2,2014,7,1
12679,17,2014-06-30,14024,1354,1,2014,6,30
12680,17,2014-06-28,2606,334,6,2014,6,28
12681,17,2014-06-27,5192,732,5,2014,6,27
12682,17,2014-06-26,4790,670,4,2014,6,26
12683,17,2014-06-25,5026,673,3,2014,6,25
12684,17,2014-06-24,4624,708,2,2014,6,24
12685,17,2014-06-23,5251,751,1,2014,6,23
12686,17,2014-06-21,2212,325,6,2014,6,21
12687,17,2014-06-20,6516,824,5,2014,6,20
12688,17,2014-06-19,7556,962,4,2014,6,19
12689,17,2014-06-18,7279,929,3,2014,6,18
12690,17,2014-06-17,8697,1054,2,2014,6,17
12691,17,2014-06-16,10950,1113,1,2014,6,16
12692,17,2014-06-14,2676,374,6,2014,6,14
12693,17,2014-06-13,5699,807,5,2014,6,13
12694,17,2014-06-12,5732,802,4,2014,6,12
12695,17,2014-06-11,5154,731,3,2014,6,11
12696,17,2014-06-10,5480,793,2,2014,6,10
12697,17,2014-06-07,3064,433,6,2014,6,7
12698,17,2014-06-06,6699,854,5,2014,6,6
12699,17,2014-06-05,6982,933,4,2014,6,5
12700,17,2014-06-04,7497,915,3,2014,6,4
12701,17,2014-06-03,9096,1081,2,2014,6,3
12702,17,2014-06-02,10499,1191,1,2014,6,2
12703,17,2014-05-31,2897,394,6,2014,5,31
12704,17,2014-05-30,8027,1091,5,2014,5,30
12705,17,2014-05-28,4992,661,3,2014,5,28
12706,17,2014-05-27,4779,669,2,2014,5,27
12707,17,2014-05-26,4708,716,1,2014,5,26
12708,17,2014-05-24,2609,345,6,2014,5,24
12709,17,2014-05-23,6070,756,5,2014,5,23
12710,17,2014-05-22,6035,784,4,2014,5,22
12711,17,2014-05-21,6390,783,3,2014,5,21
12712,17,2014-05-20,7512,908,2,2014,5,20
12713,17,2014-05-19,9550,1042,1,2014,5,19
12714,17,2014-05-17,2563,350,6,2014,5,17
12715,17,2014-05-16,4692,711,5,2014,5,16
12716,17,2014-05-15,4727,732,4,2014,5,15
12717,17,2014-05-14,4928,732,3,2014,5,14
12718,17,2014-05-13,5127,743,2,2014,5,13
12719,17,2014-05-12,4992,747,1,2014,5,12
12720,17,2014-05-10,2753,400,6,2014,5,10
12721,17,2014-05-09,6997,871,5,2014,5,9
12722,17,2014-05-08,7493,903,4,2014,5,8
12723,17,2014-05-07,7810,930,3,2014,5,7
12724,17,2014-05-06,8397,1012,2,2014,5,6
12725,17,2014-05-05,10149,1176,1,2014,5,5
12726,17,2014-05-03,2915,415,6,2014,5,3
12727,17,2014-05-02,9227,1154,5,2014,5,2
12728,17,2014-04-30,9424,1086,3,2014,4,30
12729,17,2014-04-29,9318,1053,2,2014,4,29
12730,17,2014-04-28,9407,1073,1,2014,4,28
12731,17,2014-04-26,2350,362,6,2014,4,26
12732,17,2014-04-25,4761,694,5,2014,4,25
12733,17,2014-04-24,4926,725,4,2014,4,24
12734,17,2014-04-23,4923,728,3,2014,4,23
12735,17,2014-04-22,5845,865,2,2014,4,22
12736,17,2014-04-19,4822,648,6,2014,4,19
12737,17,2014-04-17,8678,1074,4,2014,4,17
12738,17,2014-04-16,9866,1123,3,2014,4,16
12739,17,2014-04-15,10691,1191,2,2014,4,15
12740,17,2014-04-14,11638,1139,1,2014,4,14
12741,17,2014-04-12,2524,342,6,2014,4,12
12742,17,2014-04-11,5267,769,5,2014,4,11
12743,17,2014-04-10,5197,712,4,2014,4,10
12744,17,2014-04-09,5070,699,3,2014,4,9
12745,17,2014-04-08,5042,720,2,2014,4,8
12746,17,2014-04-07,5283,764,1,2014,4,7
12747,17,2014-04-05,2826,386,6,2014,4,5
12748,17,2014-04-04,7470,927,5,2014,4,4
12749,17,2014-04-03,7115,866,4,2014,4,3
12750,17,2014-04-02,6996,887,3,2014,4,2
12751,17,2014-04-01,7440,962,2,2014,4,1
12752,17,2014-03-31,12789,1299,1,2014,3,31
12753,17,2014-03-29,2298,322,6,2014,3,29
12754,17,2014-03-28,4875,688,5,2014,3,28
12755,17,2014-03-27,4898,657,4,2014,3,27
12756,17,2014-03-26,4629,645,3,2014,3,26
12757,17,2014-03-25,5060,742,2,2014,3,25
12758,17,2014-03-24,4868,716,1,2014,3,24
12759,17,2014-03-22,2514,349,6,2014,3,22
12760,17,2014-03-21,6243,820,5,2014,3,21
12761,17,2014-03-20,6624,830,4,2014,3,20
12762,17,2014-03-19,6575,803,3,2014,3,19
12763,17,2014-03-18,8458,989,2,2014,3,18
12764,17,2014-03-17,9389,1038,1,2014,3,17
12765,17,2014-03-15,2303,319,6,2014,3,15
12766,17,2014-03-14,5076,716,5,2014,3,14
12767,17,2014-03-13,4604,695,4,2014,3,13
12768,17,2014-03-12,4614,700,3,2014,3,12
12769,17,2014-03-11,5104,741,2,2014,3,11
12770,17,2014-03-10,4832,712,1,2014,3,10
12771,17,2014-03-08,2667,363,6,2014,3,8
12772,17,2014-03-07,7307,898,5,2014,3,7
12773,17,2014-03-06,7490,935,4,2014,3,6
12774,17,2014-03-05,7762,908,3,2014,3,5
12775,17,2014-03-04,8890,1011,2,2014,3,4
12776,17,2014-03-03,10948,1175,1,2014,3,3
12777,17,2014-03-01,3002,399,6,2014,3,1
12778,17,2014-02-28,6070,828,5,2014,2,28
12779,17,2014-02-27,4486,652,4,2014,2,27
12780,17,2014-02-26,4426,671,3,2014,2,26
12781,17,2014-02-25,4330,710,2,2014,2,25
12782,17,2014-02-24,4706,684,1,2014,2,24
12783,17,2014-02-22,2474,339,6,2014,2,22
12784,17,2014-02-21,6653,814,5,2014,2,21
12785,17,2014-02-20,7001,880,4,2014,2,20
12786,17,2014-02-19,6823,833,3,2014,2,19
12787,17,2014-02-18,8647,1021,2,2014,2,18
12788,17,2014-02-17,11185,1128,1,2014,2,17
12789,17,2014-02-15,2801,379,6,2014,2,15
12790,17,2014-02-14,5411,769,5,2014,2,14
12791,17,2014-02-13,4707,711,4,2014,2,13
12792,17,2014-02-12,5041,765,3,2014,2,12
12793,17,2014-02-11,4934,723,2,2014,2,11
12794,17,2014-02-10,4796,734,1,2014,2,10
12795,17,2014-02-08,2781,365,6,2014,2,8
12796,17,2014-02-07,6841,879,5,2014,2,7
12797,17,2014-02-06,7089,850,4,2014,2,6
12798,17,2014-02-05,8126,926,3,2014,2,5
12799,17,2014-02-04,9030,1017,2,2014,2,4
12800,17,2014-02-03,11049,1183,1,2014,2,3
12801,17,2014-02-01,2897,381,6,2014,2,1
12802,17,2014-01-31,6745,855,5,2014,1,31
12803,17,2014-01-30,4948,681,4,2014,1,30
12804,17,2014-01-29,4243,577,3,2014,1,29
12805,17,2014-01-28,4666,685,2,2014,1,28
12806,17,2014-01-27,4319,611,1,2014,1,27
12807,17,2014-01-25,2188,304,6,2014,1,25
12808,17,2014-01-24,5822,730,5,2014,1,24
12809,17,2014-01-23,6149,753,4,2014,1,23
12810,17,2014-01-22,7381,834,3,2014,1,22
12811,17,2014-01-21,7942,927,2,2014,1,21
12812,17,2014-01-20,10780,1086,1,2014,1,20
12813,17,2014-01-18,2333,338,6,2014,1,18
12814,17,2014-01-17,4373,691,5,2014,1,17
12815,17,2014-01-16,5037,715,4,2014,1,16
12816,17,2014-01-15,5403,772,3,2014,1,15
12817,17,2014-01-14,5009,763,2,2014,1,14
12818,17,2014-01-13,5140,758,1,2014,1,13
12819,17,2014-01-11,2884,380,6,2014,1,11
12820,17,2014-01-10,7580,912,5,2014,1,10
12821,17,2014-01-09,7263,881,4,2014,1,9
12822,17,2014-01-08,7377,902,3,2014,1,8
12823,17,2014-01-07,9532,1087,2,2014,1,7
12824,17,2014-01-06,11719,1204,1,2014,1,6
12825,17,2014-01-04,2670,354,6,2014,1,4
12826,17,2014-01-03,6029,839,5,2014,1,3
12827,17,2014-01-02,5287,786,4,2014,1,2
12828,17,2013-12-31,2329,350,2,2013,12,31
12829,17,2013-12-30,9087,1234,1,2013,12,30
12830,17,2013-12-28,3135,426,6,2013,12,28
12831,17,2013-12-27,7191,953,5,2013,12,27
12832,17,2013-12-24,3253,434,2,2013,12,24
12833,17,2013-12-23,12700,1530,1,2013,12,23
12834,17,2013-12-21,6345,744,6,2013,12,21
12835,17,2013-12-20,10798,1236,5,2013,12,20
12836,17,2013-12-19,11216,1191,4,2013,12,19
12837,17,2013-12-18,12929,1325,3,2013,12,18
12838,17,2013-12-17,14280,1416,2,2013,12,17
12839,17,2013-12-16,17845,1525,1,2013,12,16
12840,17,2013-12-14,4769,554,6,2013,12,14
12841,17,2013-12-13,6515,870,5,2013,12,13
12842,17,2013-12-12,7857,946,4,2013,12,12
12843,17,2013-12-11,6429,855,3,2013,12,11
12844,17,2013-12-10,7300,977,2,2013,12,10
12845,17,2013-12-09,6355,858,1,2013,12,9
12846,17,2013-12-07,3885,454,6,2013,12,7
12847,17,2013-12-06,6388,731,5,2013,12,6
12848,17,2013-12-05,9400,1078,4,2013,12,5
12849,17,2013-12-04,10307,1071,3,2013,12,4
12850,17,2013-12-03,10769,1145,2,2013,12,3
12851,17,2013-12-02,13442,1313,1,2013,12,2
12852,17,2013-11-30,3999,533,6,2013,11,30
12853,17,2013-11-29,7707,911,5,2013,11,29
12854,17,2013-11-28,5439,740,4,2013,11,28
12855,17,2013-11-27,5711,749,3,2013,11,27
12856,17,2013-11-26,6228,855,2,2013,11,26
12857,17,2013-11-25,5963,826,1,2013,11,25
12858,17,2013-11-23,2898,395,6,2013,11,23
12859,17,2013-11-22,6695,848,5,2013,11,22
12860,17,2013-11-21,6955,853,4,2013,11,21
12861,17,2013-11-20,7074,873,3,2013,11,20
12862,17,2013-11-19,9592,1059,2,2013,11,19
12863,17,2013-11-18,10393,1104,1,2013,11,18
12864,17,2013-11-16,2712,382,6,2013,11,16
12865,17,2013-11-15,5397,760,5,2013,11,15
12866,17,2013-11-14,5384,734,4,2013,11,14
12867,17,2013-11-13,5612,758,3,2013,11,13
12868,17,2013-11-12,5691,803,2,2013,11,12
12869,17,2013-11-11,5633,813,1,2013,11,11
12870,17,2013-11-09,3094,382,6,2013,11,9
12871,17,2013-11-08,7129,877,5,2013,11,8
12872,17,2013-11-07,7592,920,4,2013,11,7
12873,17,2013-11-06,7983,894,3,2013,11,6
12874,17,2013-11-05,9197,1093,2,2013,11,5
12875,17,2013-11-04,10108,1034,1,2013,11,4
12876,17,2013-11-02,3307,405,6,2013,11,2
12877,17,2013-11-01,6910,983,5,2013,11,1
12878,17,2013-10-30,7436,987,3,2013,10,30
12879,17,2013-10-29,5535,786,2,2013,10,29
12880,17,2013-10-28,4887,722,1,2013,10,28
