,Semana,Cebola Nacional,Ano,Mes
91,2020-07-19,53,2020,7
92,2020-07-26,49,2020,7
93,2020-08-02,56,2020,8
94,2020-08-09,62,2020,8
95,2020-08-16,43,2020,8
96,2020-08-23,32,2020,8
97,2020-08-30,72,2020,8
98,2020-09-06,51,2020,9
99,2020-09-13,76,2020,9
100,2020-09-20,36,2020,9
101,2020-09-27,36,2020,9
102,2020-10-04,77,2020,10
103,2020-10-11,38,2020,10
104,2020-10-18,82,2020,10
105,2020-10-25,52,2020,10
106,2020-11-01,51,2020,11
107,2020-11-08,53,2020,11
108,2020-11-15,32,2020,11
109,2020-11-22,28,2020,11
110,2020-11-29,32,2020,11
111,2020-12-06,29,2020,12
112,2020-12-13,35,2020,12
113,2020-12-20,28,2020,12
114,2020-12-27,44,2020,12
115,2021-01-03,22,2021,1
116,2021-01-10,55,2021,1
117,2021-01-17,30,2021,1
118,2021-01-24,35,2021,1
119,2021-01-31,43,2021,1
120,2021-02-07,38,2021,2
121,2021-02-14,17,2021,2
122,2021-02-21,30,2021,2
123,2021-02-28,44,2021,2
124,2021-03-07,50,2021,3
125,2021-03-14,32,2021,3
126,2021-03-21,47,2021,3
127,2021-03-28,36,2021,3
128,2021-04-04,20,2021,4
129,2021-04-11,34,2021,4
130,2021-04-18,34,2021,4
131,2021-04-25,35,2021,4
132,2021-05-02,37,2021,5
133,2021-05-09,46,2021,5
134,2021-05-16,32,2021,5
135,2021-05-23,46,2021,5
136,2021-05-30,33,2021,5
137,2021-06-06,50,2021,6
138,2021-06-13,35,2021,6
139,2021-06-20,28,2021,6
140,2021-06-27,33,2021,6
141,2021-07-04,35,2021,7
142,2021-07-11,30,2021,7
143,2021-07-18,38,2021,7
144,2021-07-25,40,2021,7
145,2021-08-01,24,2021,8
146,2021-08-08,28,2021,8
147,2021-08-15,37,2021,8
148,2021-08-22,45,2021,8
149,2021-08-29,31,2021,8
150,2021-09-05,34,2021,9
151,2021-09-12,11,2021,9
152,2021-09-19,40,2021,9
153,2021-09-26,31,2021,9
154,2021-10-03,55,2021,10
155,2021-10-10,40,2021,10
156,2021-10-17,32,2021,10
157,2021-10-24,51,2021,10
158,2021-10-31,36,2021,10
159,2021-11-07,11,2021,11
160,2021-11-14,29,2021,11
161,2021-11-21,34,2021,11
162,2021-11-28,52,2021,11
163,2021-12-05,28,2021,12
164,2021-12-12,24,2021,12
165,2021-12-19,37,2021,12
166,2021-12-26,58,2021,12
167,2022-01-02,44,2022,1
168,2022-01-09,42,2022,1
169,2022-01-16,33,2022,1
170,2022-01-23,24,2022,1
171,2022-01-30,7,2022,1
172,2022-02-06,39,2022,2
173,2022-02-13,39,2022,2
174,2022-02-20,23,2022,2
175,2022-02-27,32,2022,2
176,2022-03-06,37,2022,3
177,2022-03-13,37,2022,3
178,2022-03-20,24,2022,3
179,2022-03-27,37,2022,3
180,2022-04-03,20,2022,4
181,2022-04-10,32,2022,4
182,2022-04-17,43,2022,4
183,2022-04-24,28,2022,4
184,2022-05-01,25,2022,5
185,2022-05-08,20,2022,5
186,2022-05-15,30,2022,5
187,2022-05-22,35,2022,5
188,2022-05-29,39,2022,5
189,2022-06-05,40,2022,6
190,2022-06-12,31,2022,6
191,2022-06-19,19,2022,6
192,2022-06-26,38,2022,6
193,2022-07-03,36,2022,7
194,2022-07-10,34,2022,7
195,2022-07-17,44,2022,7
196,2022-07-24,39,2022,7
197,2022-07-31,12,2022,7
198,2022-08-07,41,2022,8
199,2022-08-14,9,2022,8
200,2022-08-21,34,2022,8
201,2022-08-28,0,2022,8
202,2022-09-04,32,2022,9
203,2022-09-11,31,2022,9
204,2022-09-18,40,2022,9
205,2022-09-25,42,2022,9
206,2022-10-02,48,2022,10
207,2022-10-09,26,2022,10
208,2022-10-16,35,2022,10
209,2022-10-23,25,2022,10
210,2022-10-30,39,2022,10
211,2022-11-06,29,2022,11
212,2022-11-13,34,2022,11
213,2022-11-20,25,2022,11
214,2022-11-27,26,2022,11
215,2022-12-04,25,2022,12
216,2022-12-11,23,2022,12
217,2022-12-18,37,2022,12
218,2022-12-25,34,2022,12
219,2023-01-01,23,2023,1
220,2023-01-08,27,2023,1
221,2023-01-15,22,2023,1
222,2023-01-22,23,2023,1
223,2023-01-29,26,2023,1
224,2023-02-05,29,2023,2
225,2023-02-12,0,2023,2
226,2023-02-19,29,2023,2
227,2023-02-26,35,2023,2
228,2023-03-05,25,2023,3
229,2023-03-12,36,2023,3
230,2023-03-19,33,2023,3
231,2023-03-26,14,2023,3
232,2023-04-02,26,2023,4
233,2023-04-09,33,2023,4
234,2023-04-16,12,2023,4
235,2023-04-23,26,2023,4
236,2023-04-30,24,2023,4
237,2023-05-07,31,2023,5
238,2023-05-14,25,2023,5
239,2023-05-21,0,2023,5
240,2023-05-28,28,2023,5
241,2023-06-04,40,2023,6
242,2023-06-11,25,2023,6
243,2023-06-18,32,2023,6
244,2023-06-25,28,2023,6
245,2023-07-02,23,2023,7
246,2023-07-09,35,2023,7
247,2023-07-16,31,2023,7
248,2023-07-23,32,2023,7
249,2023-07-30,30,2023,7
250,2023-08-06,37,2023,8
251,2023-08-13,22,2023,8
252,2023-08-20,17,2023,8
253,2023-08-27,47,2023,8
254,2023-09-03,33,2023,9
255,2023-09-10,28,2023,9
256,2023-09-17,35,2023,9
257,2023-09-24,37,2023,9
258,2023-10-01,9,2023,10
259,2023-10-08,22,2023,10
260,2023-10-15,40,2023,10
