,Semana,COXA USA KOCH FOODS,Ano,Mes
239,2023-05-21,0,2023,5
240,2023-05-28,32,2023,5
241,2023-06-04,24,2023,6
242,2023-06-11,49,2023,6
243,2023-06-18,25,2023,6
244,2023-06-25,35,2023,6
245,2023-07-02,38,2023,7
246,2023-07-09,20,2023,7
247,2023-07-16,26,2023,7
248,2023-07-23,22,2023,7
249,2023-07-30,23,2023,7
250,2023-08-06,0,2023,8
251,2023-08-13,40,2023,8
252,2023-08-20,31,2023,8
253,2023-08-27,13,2023,8
254,2023-09-03,19,2023,9
255,2023-09-10,28,2023,9
256,2023-09-17,31,2023,9
257,2023-09-24,0,2023,9
258,2023-10-01,35,2023,10
259,2023-10-08,29,2023,10
260,2023-10-15,0,2023,10
